WellName ~ WellType ~ X ~ Y ~ Active ~ Radius ~ ZMin ~ ZMax
HRIII_7623 ~ Flow ~ 9716.218574 ~ 23745.14962 ~ true ~ 0 ~ -1219.69995 ~ 12.691
HRIII_7636 ~ Flow ~ 9707.673816 ~ 23774.94873 ~ true ~ 0 ~ -1219.69995 ~ 12.691
HRIII_7690 ~ Flow ~ 9686.419461 ~ 23736.60486 ~ true ~ 0 ~ -1219.69995 ~ 12.691
HRIII_7780 ~ Flow ~ 13202.32018 ~ 6998.305096 ~ true ~ 0 ~ -2344.6001 ~ 0.864579976
HRIII_7862 ~ Flow ~ 13297.86799 ~ 9074.05258 ~ true ~ 0 ~ -2344.6001 ~ 0.864579976
HRIII_8057 ~ Flow ~ 11307.05242 ~ 23537.60285 ~ true ~ 0 ~ -1553.09998 ~ 8.44979954
HRIII_8087 ~ Flow ~ 12278.69805 ~ 19115.1046 ~ true ~ 0 ~ -1952.90002 ~ 6.64319992
HRIII_8117 ~ Flow ~ 11045.5596 ~ 23781.99292 ~ true ~ 0 ~ -1502.19995 ~ 8.52680016
HRIII_8227 ~ Flow ~ 9933.401274 ~ 23872.96462 ~ true ~ 0 ~ -1219.69995 ~ 12.691
HRIII_8228 ~ Flow ~ 9924.856516 ~ 23902.76374 ~ true ~ 0 ~ -1219.69995 ~ 12.691
HRIII_8749 ~ Flow ~ 7376.049868 ~ 205.2145454 ~ true ~ 0 ~ -688.830017 ~ 8.70189953
HRIII_8839 ~ Flow ~ 9559.711906 ~ 16305.82367 ~ true ~ 0 ~ -1219.69995 ~ 12.691
HRIII_9215 ~ Flow ~ 11862.18871 ~ 28084.76864 ~ true ~ 0 ~ -1766.09998 ~ 7.16540003
